raw_id,name,night,frame_type,dpr_type,start_reduce_date,end_reduce_date,drs_status,frame_group,tpl_nexp,tpl_expno,target,do_catg,qc,ins_mode
113348,NIRPS.2023-01-24T03:31:22.281.fits,2023-01-23,SCIENCE_SKY,"OBJECT,SKY",2023-06-24 22:47:59.732353,2023-06-24 22:49:44.483486,0,2023-01-24T03:10:26_160,6,3,Night sky-sky - HE,{OBJ_SKY},1,HE
,,,,,,,,,,,,,,
113351,NIRPS.2023-01-24T03:51:48.384.fits,2023-01-23,SCIENCE_SKY,"OBJECT,SKY",2023-06-24 22:59:43.787192,2023-06-24 23:01:25.705597,0,2023-01-24T03:10:26_163,6,5,Night sky-sky - HE,{OBJ_SKY},1,HE
,,,,,,,,,,,,,,
113575,NIRPS.2023-03-04T06:43:38.360.fits,2023-03-03,SCIENCE_SKY,"OBJECT,SKY",2023-06-25 00:01:33.680736,2023-06-25 00:03:28.017589,0,2023-03-04T06:12:29_391,6,4,Night sky-sky - HA,{OBJ_SKY},1,HA
,,,,,,,,,,,,,,
113573,NIRPS.2023-03-04T06:23:12.244.fits,2023-03-03,SCIENCE_SKY,"OBJECT,SKY",2023-06-24 23:51:14.894277,2023-06-24 23:52:53.141421,0,2023-03-04T06:12:29_389,6,2,Night sky-sky - HA,{OBJ_SKY},1,HA
,,,,,,,,,,,,,,
113582,NIRPS.2023-03-04T07:39:00.067.fits,2023-03-03,SCIENCE_SKY,"OBJECT,SKY",2023-06-24 23:12:02.857232,2023-06-24 23:13:49.042306,0,2023-03-04T07:18:08_398,6,3,Night sky-sky HE,{OBJ_SKY},1,HE
,,,,,,,,,,,,,,
113576,NIRPS.2023-03-04T06:53:51.417.fits,2023-03-03,SCIENCE_SKY,"OBJECT,SKY",2023-06-25 00:01:33.669126,2023-06-25 00:03:32.978416,0,2023-03-04T06:12:29_392,6,5,Night sky-sky - HA,{OBJ_SKY},1,HA
,,,,,,,,,,,,,,
113577,NIRPS.2023-03-04T06:53:51.427.fits,2023-03-03,SCIENCE_SKY,"OBJECT,SKY",2023-06-25 00:01:33.73136,2023-06-25 00:03:33.028509,0,2023-03-04T06:12:29_393,6,5,Night sky-sky - HA,{OBJ_SKY},1,HA
,,,,,,,,,,,,,,
113581,NIRPS.2023-03-04T07:39:00.058.fits,2023-03-03,SCIENCE_SKY,"OBJECT,SKY",2023-06-24 23:12:02.889722,2023-06-24 23:13:45.462627,0,2023-03-04T07:18:08_397,6,3,Night sky-sky HE,{OBJ_SKY},1,HE
,,,,,,,,,,,,,,
113572,NIRPS.2023-03-04T06:12:59.187.fits,2023-03-03,SCIENCE_SKY,"OBJECT,SKY",2023-06-24 23:51:14.88659,2023-06-24 23:52:52.441124,0,2023-03-04T06:12:29_388,6,1,Night sky-sky - HA,{OBJ_SKY},1,HA
,,,,,,,,,,,,,,
113345,NIRPS.2023-01-24T03:21:09.214.fits,2023-01-23,SCIENCE_SKY,"OBJECT,SKY",2023-06-24 22:47:59.675903,2023-06-24 22:49:45.363005,0,2023-01-24T03:10:26_157,6,2,Night sky-sky - HE,{OBJ_SKY},1,HE
,,,,,,,,,,,,,,
113585,NIRPS.2023-03-04T08:09:39.229.fits,2023-03-03,SCIENCE_SKY,"OBJECT,SKY",2023-06-24 23:23:09.598124,2023-06-24 23:24:57.565582,0,2023-03-04T07:18:08_401,6,6,Night sky-sky HE,{OBJ_SKY},1,HE
,,,,,,,,,,,,,,
113574,NIRPS.2023-03-04T06:33:25.303.fits,2023-03-03,SCIENCE_SKY,"OBJECT,SKY",2023-06-25 00:01:33.616294,2023-06-25 00:03:28.109761,0,2023-03-04T06:12:29_390,6,3,Night sky-sky - HA,{OBJ_SKY},1,HA
,,,,,,,,,,,,,,
113578,NIRPS.2023-03-04T07:04:04.475.fits,2023-03-03,SCIENCE_SKY,"OBJECT,SKY",2023-06-25 00:01:33.692801,2023-06-25 00:03:32.164963,0,2023-03-04T06:12:29_394,6,6,Night sky-sky - HA,{OBJ_SKY},1,HA
,,,,,,,,,,,,,,
113579,NIRPS.2023-03-04T07:18:33.943.fits,2023-03-03,SCIENCE_SKY,"OBJECT,SKY",2023-06-24 23:12:02.856641,2023-06-24 23:13:49.418183,0,2023-03-04T07:18:08_395,6,1,Night sky-sky HE,{OBJ_SKY},1,HE
,,,,,,,,,,,,,,
113344,NIRPS.2023-01-24T03:10:56.168.fits,2023-01-23,SCIENCE_SKY,"OBJECT,SKY",2023-06-24 22:47:59.712403,2023-06-24 22:49:45.136965,0,2023-01-24T03:10:26_156,6,1,Night sky-sky - HE,{OBJ_SKY},1,HE
,,,,,,,,,,,,,,
113580,NIRPS.2023-03-04T07:28:47.001.fits,2023-03-03,SCIENCE_SKY,"OBJECT,SKY",2023-06-24 23:12:02.866094,2023-06-24 23:13:45.90881,0,2023-03-04T07:18:08_396,6,2,Night sky-sky HE,{OBJ_SKY},1,HE
,,,,,,,,,,,,,,
113583,NIRPS.2023-03-04T07:49:13.115.fits,2023-03-03,SCIENCE_SKY,"OBJECT,SKY",2023-06-24 23:23:09.581788,2023-06-24 23:24:57.470447,0,2023-03-04T07:18:08_399,6,4,Night sky-sky HE,{OBJ_SKY},1,HE
,,,,,,,,,,,,,,
113584,NIRPS.2023-03-04T07:59:26.172.fits,2023-03-03,SCIENCE_SKY,"OBJECT,SKY",2023-06-24 23:23:09.622953,2023-06-24 23:24:57.49896,0,2023-03-04T07:18:08_400,6,5,Night sky-sky HE,{OBJ_SKY},1,HE
,,,,,,,,,,,,,,
113347,NIRPS.2023-01-24T03:31:22.271.fits,2023-01-23,SCIENCE_SKY,"OBJECT,SKY",2023-06-24 22:47:59.739991,2023-06-24 22:49:46.223277,0,2023-01-24T03:10:26_159,6,3,Night sky-sky - HE,{OBJ_SKY},1,HE
,,,,,,,,,,,,,,
113346,NIRPS.2023-01-24T03:21:09.225.fits,2023-01-23,SCIENCE_SKY,"OBJECT,SKY",2023-06-24 22:47:59.723386,2023-06-24 22:49:43.081942,0,2023-01-24T03:10:26_158,6,2,Night sky-sky - HE,{OBJ_SKY},1,HE
,,,,,,,,,,,,,,
113343,NIRPS.2023-01-24T03:10:56.158.fits,2023-01-23,SCIENCE_SKY,"OBJECT,SKY",2023-06-24 22:47:59.659054,2023-06-24 22:49:43.991989,0,2023-01-24T03:10:26_155,6,1,Night sky-sky - HE,{OBJ_SKY},1,HE
,,,,,,,,,,,,,,
1,NIRPS.2023-10-06T03:02:44.478.fits,2023-10-05,SCIENCE_SKY,"OBJECT,SKY",03:02:00,03:02:00,0,03:02:00,6,1,Night sky-sky - HE,{OBJ_SKY},1,HE
,,,,,,,,,,,,,,
2,NIRPS.2023-10-06T03:12:57.533.fits,2023-10-05,SCIENCE_SKY,"OBJECT,SKY",03:12:00,03:12:00,0,03:12:00,6,2,Night sky-sky - HE,{OBJ_SKY},1,HE
,,,,,,,,,,,,,,
3,NIRPS.2023-10-06T03:23:10.589.fits,2023-10-05,SCIENCE_SKY,"OBJECT,SKY",03:23:00,03:23:00,0,03:23:00,6,3,Night sky-sky - HE,{OBJ_SKY},1,HE
,,,,,,,,,,,,,,
4,NIRPS.2023-10-06T03:33:23.644.fits,2023-10-05,SCIENCE_SKY,"OBJECT,SKY",03:33:00,03:33:00,0,03:33:00,6,4,Night sky-sky - HE,{OBJ_SKY},1,HE
,,,,,,,,,,,,,,
5,NIRPS.2023-10-06T03:43:36.699.fits,2023-10-05,SCIENCE_SKY,"OBJECT,SKY",03:43:00,03:43:00,0,03:43:00,6,5,Night sky-sky - HE,{OBJ_SKY},1,HE
,,,,,,,,,,,,,,
6,NIRPS.2023-10-06T03:53:49.755.fits,2023-10-05,SCIENCE_SKY,"OBJECT,SKY",03:53:00,03:53:00,0,03:53:00,6,6,Night sky-sky - HE,{OBJ_SKY},1,HE
