,Order,Wavelength Start (micron),Region Size (micron),Both Fibers,Species
47,16,1.0975,6.638e-05,1,"Emission line wavelength(s) in region: [(1.09752, 'OH Line'), (1.09755, 'OH Line')] micron"
48,16,1.1009,4.57e-05,1,"Emission line wavelength(s) in region: [(1.10093, 'OH Line')] micron"
49,16,1.10293,8.729e-05,1,"Emission line wavelength(s) in region: [(1.10296, 'OH Line'), (1.103, 'OH Line')] micron"
50,17,1.1009,5.662e-05,1,"Emission line wavelength(s) in region: [(1.10093, 'OH Line')] micron"
51,17,1.10294,3.784e-05,1,"Emission line wavelength(s) in region: [(1.10296, 'OH Line')] micron"
52,17,1.10299,3.78e-05,1,"Emission line wavelength(s) in region: [(1.10301, 'OH Line')] micron"
53,17,1.10895,3.946e-05,1,"Emission line wavelength(s) in region: [(1.10897, 'OH Line')] micron"
54,17,1.10901,3.937e-05,1,"Emission line wavelength(s) in region: [(1.10903, 'OH Line')] micron"
55,18,1.11404,7.593e-05,0,"Emission line wavelength(s) in region: [(1.11407, 'OH Line'), (1.11411, 'OH Line')] micron"
56,18,1.11553,4.994e-05,0,"Emission line wavelength(s) in region: [(1.11556, 'OH Line')] micron"
57,18,1.11563,4.215e-05,1,"Emission line wavelength(s) in region: [(1.11565, 'OH Line')] micron"
58,18,1.11797,0.00026175,0,"Emission line wavelength(s) in region: [(1.11806, 'OH Line'), (1.11819, 'OH Line')] micron"
59,18,1.11845,0.0003158,0,"Emission line wavelength(s) in region: [(1.11861, 'Unknown Species')] micron"
60,20,1.13061,5.38e-05,0,"Emission line wavelength(s) in region: [(1.13064, 'OH Line')] micron"
61,20,1.13231,5.161e-05,1,"Emission line wavelength(s) in region: [(1.13234, 'OH Line')] micron"
62,20,1.13308,7.382e-05,0,"Emission line wavelength(s) in region: [(1.13312, 'OH Line')] micron"
63,20,1.1354,5.416e-05,1,"Emission line wavelength(s) in region: [(1.13542, 'OH Line')] micron"
64,20,1.13932,6.377e-05,0,"Emission line wavelength(s) in region: [(1.13936, 'Unknown Species')] micron"
65,21,1.14397,5.527e-05,1,"Emission line wavelength(s) in region: [(1.14399, 'OH Line')] micron"
66,21,1.14512,7.42e-05,1,"Emission line wavelength(s) in region: [(1.14514, 'OH Line'), (1.14518, 'OH Line')] micron"
67,21,1.14686,2.961e-05,0,"Emission line wavelength(s) in region: [(1.14688, 'OH Line')] micron"
68,22,1.14397,5.936e-05,1,"Emission line wavelength(s) in region: [(1.144, 'OH Line')] micron"
